driver,lap,time
"Leclerc",42,01.35.3
"Leclerc",43,01.35.2
"Leclerc",44,01.35.3
"Leclerc",45,01.35.4
"Leclerc",46,01.35.3
"Leclerc",47,01.35.4
"Leclerc",48,01.35.2
"Leclerc",49,01.35.4
"Leclerc",50,01.35.1
"Leclerc",51,01.35.5
"Leclerc",52,01.37.1
"Leclerc",53,01.35.7
"Leclerc",54,01.35.9
"Leclerc",55,01.36.2
"Leclerc",56,01.37.0
"Bottas",1,02.03.8
"Bottas",2,02.21.5
"Bottas",3,02.34.2
"Bottas",4,01.48.0
"Bottas",5,01.43.7
"Bottas",6,01.37.1
"Bottas",7,01.36.4
"Bottas",8,01.36.0
"Bottas",9,01.37.1
"Bottas",10,01.36.4
"Bottas",11,01.36.4
"Bottas",12,01.36.5
"Bottas",13,01.36.4
"Bottas",14,01.36.7
"Bottas",15,01.36.6
"Bottas",16,01.39.5
"Bottas",17,01.54.7
"Bottas",18,01.35.0
"Bottas",19,01.34.5
"Bottas",20,01.34.8
"Bottas",21,01.35.1
"Bottas",22,01.35.1
"Bottas",23,01.35.1
"Bottas",24,01.35.2
"Bottas",25,01.35.0
"Bottas",26,01.35.3
"Bottas",27,01.35.5
"Bottas",28,01.35.4
"Bottas",29,01.35.9
"Bottas",30,01.38.0
"Bottas",31,02.03.8
"Bottas",32,01.35.1
"Bottas",33,01.34.5
"Bottas",34,01.34.5
"Bottas",35,01.34.4
"Bottas",36,01.34.5
"Bottas",37,01.34.4
"Bottas",38,01.34.4
"Bottas",39,01.35.2
"Bottas",40,01.34.7
"Bottas",41,01.34.8
"Bottas",42,01.34.8
"Bottas",43,01.34.5
"Bottas",44,01.34.3
"Bottas",45,01.35.2
"Bottas",46,01.34.4
"Bottas",47,01.34.3
"Bottas",48,01.34.2
"Bottas",49,01.34.2
"Bottas",50,01.34.3
"Bottas",51,01.34.5
"Bottas",52,01.35.1
"Bottas",53,01.34.6
"Bottas",54,01.37.8
"Bottas",55,01.55.9
"Bottas",56,01.32.1
"Perez",1,02.28.0
"Perez",2,02.20.7
"Perez",3,02.15.2
"Perez",4,01.58.7
"Perez",5,01.40.0
"Perez",6,01.37.5
"Perez",7,01.37.9
"Perez",8,01.37.1
"Perez",9,01.37.4
"Perez",10,01.36.8
"Perez",11,01.37.8
"Perez",12,01.38.0
"Perez",13,01.36.9
"Perez",14,01.36.9
"Perez",15,01.36.9
"Perez",16,01.36.5
"Perez",17,01.37.1
"Perez",18,01.38.1
"Perez",19,01.39.7
"Perez",20,01.56.5
"Perez",21,01.35.7
"Perez",22,01.35.6
"Perez",23,01.35.8
"Perez",24,01.36.0
"Perez",25,01.35.5
"Perez",26,01.36.6
"Perez",27,01.35.2
"Perez",28,01.35.5
"Perez",29,01.35.9
"Perez",30,01.35.7
"Perez",31,01.36.3
"Perez",32,01.35.5
"Perez",33,01.36.5
"Perez",34,01.35.8
"Perez",35,01.36.1
"Perez",36,01.36.0
"Perez",37,01.36.0
"Perez",38,01.38.8
"Perez",39,01.56.7
"Perez",40,01.34.5
"Perez",41,01.34.3
"Perez",42,01.34.3
"Perez",43,01.34.4
"Perez",44,01.34.0
"Perez",45,01.34.5
"Perez",46,01.34.7
"Perez",47,01.34.6
"Perez",48,01.34.2
"Perez",49,01.34.7
"Perez",50,01.34.2
"Perez",51,01.34.3
"Perez",52,01.35.3
"Perez",53,01.34.5
"Perez",54,01.34.9
"Perez",55,01.34.7
"Perez",56,01.34.8
